Date,Open,High,Low,Close
06/06/2020,241.5,244.39,237.8,242.17
06/05/2020,241.77,247.58,239.11,241
06/04/2020,241.67,246.66,236.46,241.91
06/03/2020,236.37,242.9,233.6,241.63
06/02/2020,242.34,253.39,226.22,236.64
06/01/2020,235.6,242.63,229.97,241.75
05/31/2020,235.38,246.5,232.07,235.7
05/30/2020,219.97,238.65,218.66,235.38
05/29/2020,214.49,224.62,213.52,219.97
05/28/2020,206.26,215.45,204.66,214.36
05/27/2020,202.33,207.8,200.5,206.29
05/26/2020,204.91,205,197.11,202.2
05/25/2020,206.4,207.9,198.2,204.9
05/24/2020,207.97,210.61,201.76,206.41
05/23/2020,208.13,211.5,205,208.02
05/22/2020,198.92,209.21,196.56,208.24
05/21/2020,210.4,211.41,191.73,199.05
05/20/2020,212.54,215.45,206.8,210.4
05/19/2020,212.8,215.93,209.45,212.41
05/18/2020,208.03,216.95,206.34,212.65
05/17/2020,200.21,209.68,199.63,208.06
05/16/2020,193.26,203.17,192.89,200.11
05/15/2020,202.56,204.45,191.98,193.24
05/14/2020,198.37,206.14,196.5,202.56
05/13/2020,189.78,199.38,187.14,198.3
05/12/2020,186.74,192.42,183.77,189.99
05/11/2020,188.59,193.71,176.99,186.65
05/10/2020,212.06,212.06,180.97,188.02
05/09/2020,214.66,215.23,208.55,212.07
05/08/2020,211.71,216.91,207.46,214.66
05/07/2020,205.59,214.52,196.99,211.62
05/06/2020,205.67,211.16,202.33,205.59
05/05/2020,207.93,212.1,202.21,205.4
05/04/2020,208.08,211.65,195.15,207.89
05/03/2020,214.16,218.92,205.52,207.98
05/02/2020,209.77,215.71,209.77,214.15
05/01/2020,211.8,217.15,205.41,209.77
04/30/2020,217,227.22,202.5,211.8
04/29/2020,196.58,218.61,195.92,217
04/28/2020,193.52,198.1,192.59,196.59
04/27/2020,197.22,199.2,190.62,193.67
04/26/2020,194,199.77,191.83,196.86
04/25/2020,188.19,198,186.06,194.4
04/24/2020,189.12,191,184.03,187.87
04/23/2020,183,193.49,178.63,189.12
04/22/2020,172.71,184.13,170.09,182.94
04/21/2020,172.42,174.62,168.62,172.61
04/20/2020,181.6,186.74,167.44,171.7
